ontology,method,num_classes,num_relations
rail.ttl,leng,7,3
ld,leng,7,0
data,leng,7,7
network.ttl,leng,7,3
quotekg_schema.ttl,leng,4,2
core.ttl,leng,7,6
rvo.ttl,leng,7,11
cocoon.ttl,leng,7,0
realestate,leng,0,0
hardware.ttl,leng,7,3
certificate.ttl,leng,7,3
explanation,leng,7,0
educor.ttl,leng,7,4
p2p,leng,0,0
ckgg.owl,leng,7,0
software.ttl,leng,7,8
i40.ttl,leng,7,0
server.ttl,leng,7,1
organisation.ttl,leng,7,5
SEO.owl,leng,7,0
workflow.ttl,leng,7,10
database.ttl,leng,7,1
swift.ttl,leng,3,0
arco1.2.owl,leng,7,0
product.ttl,leng,7,6
explanation,abstract,7,1
cocoon.ttl,abstract,0,0
p2p,abstract,0,0
hardware.ttl,abstract,7,4
realestate,abstract,0,0
rail.ttl,abstract,0,0
quotekg_schema.ttl,abstract,0,0
arco1.2.owl,abstract,7,0
educor.ttl,abstract,7,6
workflow.ttl,abstract,0,0
organisation.ttl,abstract,0,0
software.ttl,abstract,6,7
server.ttl,abstract,0,0
network.ttl,abstract,0,0
rvo.ttl,abstract,0,0
certificate.ttl,abstract,2,0
swift.ttl,abstract,0,0
product.ttl,abstract,7,8
data,abstract,7,8
database.ttl,abstract,0,0
ld,abstract,0,0
ckgg.owl,abstract,0,0
SEO.owl,abstract,1,0
core.ttl,abstract,3,3
i40.ttl,abstract,6,0
hardware.ttl,abstract,7,4
workflow.ttl,abstract,0,0
organisation.ttl,abstract,0,0
software.ttl,abstract,6,7
server.ttl,abstract,0,0
network.ttl,abstract,0,0
certificate.ttl,abstract,2,0
product.ttl,abstract,7,8
data,abstract,7,8
database.ttl,abstract,0,0
core.ttl,abstract,3,3
explanation,abstract,7,0
cocoon.ttl,abstract,7,2
p2p,abstract,0,0
hardware.ttl,abstract,7,4
realestate,abstract,0,0
rail.ttl,abstract,0,0
quotekg_schema.ttl,abstract,0,0
arco1.2.owl,abstract,7,0
educor.ttl,abstract,7,6
workflow.ttl,abstract,0,0
organisation.ttl,abstract,0,0
software.ttl,abstract,6,7
server.ttl,abstract,0,0
network.ttl,abstract,0,0
rvo.ttl,abstract,0,0
certificate.ttl,abstract,2,0
swift.ttl,abstract,0,0
product.ttl,abstract,7,8
data,abstract,7,7
database.ttl,abstract,0,0
ld,abstract,0,0
ckgg.owl,abstract,0,0
SEO.owl,abstract,3,0
core.ttl,abstract,3,3
i40.ttl,abstract,7,0
product.ttl,freq,7,3
database.ttl,freq,7,5
swift.ttl,freq,0,0
arco1.2.owl,freq,7,15
organisation.ttl,freq,7,6
SEO.owl,freq,7,5
workflow.ttl,freq,7,10
i40.ttl,freq,7,9
server.ttl,freq,7,6
software.ttl,freq,7,8
ckgg.owl,freq,7,27
p2p,freq,0,0
educor.ttl,freq,7,10
explanation,freq,3,1
certificate.ttl,freq,4,3
hardware.ttl,freq,7,5
realestate,freq,0,0
cocoon.ttl,freq,0,0
core.ttl,freq,7,6
rvo.ttl,freq,7,10
network.ttl,freq,7,5
quotekg_schema.ttl,freq,3,2
ld,freq,7,5
rail.ttl,freq,7,7
data,freq,7,8
